apelido,clube,posicao,preco,pontos,variacao,media,jogos
Luan,Palmeiras,Zagueiro,4.11,0.9,-0.89,0.9,1
Joílson,Chapecoense,Zagueiro,3.0,0.0,0.0,0.0,0
Felipe Santana,Chapecoense,Zagueiro,4.0,0.0,0.0,0.0,0
Alan Empereur,Palmeiras,Zagueiro,5.64,3.1,0.64,3.1,1
Kadu,Chapecoense,Zagueiro,3.0,0.0,0.0,0.0,0
Kuscevic,Palmeiras,Zagueiro,5.0,0.0,0.0,0.0,0
Tiago Coser,Chapecoense,Zagueiro,1.0,0.0,0.0,0.0,0
Willian Arão,Flamengo,Zagueiro,11.07,6.9,2.07,6.9,1
Hiago,Chapecoense,Zagueiro,2.0,0.0,0.0,0.0,0
João Cesco,Chapecoense,Zagueiro,1.0,0.0,0.0,0.0,0
Léo Pereira,Flamengo,Zagueiro,4.0,0.0,0.0,0.0,0
Derlan,Chapecoense,Zagueiro,1.11,-0.4,-0.89,-0.4,1
Gustavo Henrique,Flamengo,Zagueiro,5.0,0.0,0.0,0.0,0
Zé Ivaldo,Athlético-PR,Zagueiro,3.0,0.0,0.0,0.0,0
Bruno Viana,Flamengo,Zagueiro,5.0,0.0,0.0,0.0,0
Aguilar,Athlético-PR,Zagueiro,4.0,0.0,0.0,0.0,0
Gabriel Noga,Flamengo,Zagueiro,2.0,0.0,0.0,0.0,0
Bruno Méndez,Corinthians,Zagueiro,5.0,0.0,0.0,0.0,0
Jemerson,Corinthians,Zagueiro,7.0,0.0,0.0,0.0,0
Danilo Avelar,Corinthians,Zagueiro,5.0,0.0,0.0,0.0,0
Manoel,Fluminense,Zagueiro,6.0,0.0,0.0,0.0,0
Matheus Ferraz,Fluminense,Zagueiro,5.0,0.0,0.0,0.0,0
David Braz,Fluminense,Zagueiro,5.0,0.0,0.0,0.0,0
Nino,Fluminense,Zagueiro,10.93,7.7,2.93,7.7,1
Rafael Ribeiro,Fluminense,Zagueiro,2.0,0.0,0.0,0.0,0
Paulão,Cuiabá,Zagueiro,7.0,0.0,0.0,0.0,0
Rodrigo Caio,Flamengo,Zagueiro,10.79,4.5,-0.21,4.5,1
Wálber,Cuiabá,Zagueiro,2.0,0.0,0.0,0.0,0
Luís Otávio,Cuiabá,Zagueiro,2.0,0.0,0.0,0.0,0
Raul Gustavo,Corinthians,Zagueiro,3.06,1.4,0.06,1.4,1
Kaiky,Santos,Zagueiro,3.76,1.4,-0.24,1.4,1
Wanderson,Fortaleza,Zagueiro,3.0,0.0,0.0,0.0,0
João Victor,Corinthians,Zagueiro,5.0,0.0,0.0,0.0,0
Renan,Palmeiras,Zagueiro,4.0,0.0,0.0,0.0,0
Paulo Miranda,Grêmio,Zagueiro,4.0,0.0,0.0,0.0,0
Jackson,Fortaleza,Zagueiro,4.0,0.0,0.0,0.0,0
Quintero,Fortaleza,Zagueiro,5.0,0.0,0.0,0.0,0
Anderson Jesus,América-MG,Zagueiro,2.09,0.0,-0.91,0.0,1
Rafael Forster,Juventude,Zagueiro,2.85,0.1,-1.15,0.1,1
