apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Luccas Claro,Fluminense,Zagueiro,11.28,6.2,1.28,6.2,1,1
Iago Maidana,Sport,Zagueiro,7.0,0.0,0.0,0.0,1,0
Gil,Corinthians,Zagueiro,5.78,-1.7,-4.22,-1.7,1,1
Léo Ortiz,Bragantino,Zagueiro,6.96,5.0,1.96,5.0,1,1
Luiz Otávio,Ceará,Zagueiro,7.0,0.0,0.0,0.0,1,0
Luiz Gustavo,Cuiabá,Zagueiro,4.0,0.0,0.0,0.0,1,0
Marcelo Benevenuto,Fortaleza,Zagueiro,5.01,1.2,-0.99,1.2,1,1
Wálber,Cuiabá,Zagueiro,2.0,0.0,0.0,0.0,1,0
Vitor Mendes,Juventude,Zagueiro,0.97,0.4,-0.03,0.4,1,1
Quintero,Fortaleza,Zagueiro,5.0,0.0,0.0,0.0,1,0
Luís Otávio,Cuiabá,Zagueiro,2.0,0.0,0.0,0.0,1,0
Rafael Forster,Juventude,Zagueiro,2.85,0.1,-1.15,0.1,1,1
Cleberson,Juventude,Zagueiro,4.0,0.0,0.0,0.0,1,0
Laércio,Chapecoense,Zagueiro,4.59,1.6,-0.41,1.6,1,1
Luiz Felipe,Santos,Zagueiro,4.0,0.0,0.0,0.0,1,0
João Victor,Corinthians,Zagueiro,5.0,0.0,0.0,0.0,1,0
Chico,Sport,Zagueiro,2.0,0.0,0.0,0.0,1,0
Paulão,Cuiabá,Zagueiro,7.0,0.0,0.0,0.0,1,0
Raul Gustavo,Corinthians,Zagueiro,3.06,1.4,0.06,1.4,1,1
Adryelson,Sport,Zagueiro,6.0,0.0,0.0,0.0,1,0
Rodrigo Caio,Flamengo,Zagueiro,10.79,4.5,-0.21,4.5,1,1
Kannemann,Grêmio,Zagueiro,11.0,0.0,0.0,0.0,1,0
Rodrigo Freitas,São Paulo,Zagueiro,3.0,0.0,0.0,0.0,1,0
Renan,Palmeiras,Zagueiro,4.0,0.0,0.0,0.0,1,0
Kaiky,Santos,Zagueiro,3.76,1.4,-0.24,1.4,1,1
Emanuel,Grêmio,Zagueiro,2.0,0.0,0.0,0.0,1,0
Otávio,Flamengo,Zagueiro,2.0,0.0,0.0,0.0,1,0
Henri,Palmeiras,Zagueiro,1.0,0.0,0.0,0.0,1,0
Pedro Victor,Sport,Zagueiro,1.0,0.0,0.0,0.0,1,0
Júlio,América-MG,Zagueiro,1.0,0.0,0.0,0.0,1,0
Felipe Siedekum,América-MG,Zagueiro,1.0,0.0,0.0,0.0,1,0
Danilo Boza,Santos,Zagueiro,3.0,0.0,0.0,0.0,1,0
Heitor,Grêmio,Zagueiro,1.0,0.0,0.0,0.0,1,0
Micael,Atlético-MG,Zagueiro,2.0,0.0,0.0,0.0,1,0
Tiago Barbosa,Internacional,Zagueiro,1.0,0.0,0.0,0.0,1,0
Rodolfo Moisés,América-MG,Zagueiro,1.0,0.0,0.0,0.0,1,0
Zé Vitor,América-MG,Zagueiro,1.0,0.0,0.0,0.0,1,0
Michel,Palmeiras,Zagueiro,1.0,0.0,0.0,0.0,1,0
Vitor Hugo,Cuiabá,Zagueiro,1.0,0.0,0.0,0.0,1,0
Ignácio,Chapecoense,Zagueiro,2.0,0.0,0.0,0.0,1,0
Luan,Fluminense,Zagueiro,1.0,0.0,0.0,0.0,1,0
Everton Sena,Cuiabá,Zagueiro,3.0,0.0,0.0,0.0,1,0
Joaquim,Cuiabá,Zagueiro,2.0,0.0,0.0,0.0,1,0
Gustavo Henrique,Bahia,Zagueiro,2.0,0.0,0.0,0.0,1,0
Titi,Fortaleza,Zagueiro,4.32,2.2,0.32,2.2,1,1
Léo Santos,Corinthians,Zagueiro,2.0,0.0,0.0,0.0,1,0
Rafael Thyere,Sport,Zagueiro,3.2,0.6,-0.8,0.6,1,1
Wellington,Santos,Zagueiro,2.0,0.0,0.0,0.0,1,0
Derick ,Santos,Zagueiro,2.0,0.0,0.0,0.0,1,0
Alex,Santos,Zagueiro,3.0,0.0,0.0,0.0,1,0
Gil,Corinthians,Zagueiro,5.49,4.3,-0.29,1.3,2,2
Igor Rabello,Atlético-MG,Zagueiro,3.21,3.8,-0.48,0.05,2,2
Rodrigo Caio,Flamengo,Zagueiro,10.79,0.0,0.0,4.5,2,1
Léo Ortiz,Bragantino,Zagueiro,7.09,1.6,0.13,3.3,2,2
Paulão,Cuiabá,Zagueiro,4.92,-0.2,-2.08,-0.2,2,1
Luccas Claro,Fluminense,Zagueiro,11.89,4.8,0.61,5.5,2,2
Víctor Cuesta,Internacional,Zagueiro,8.18,1.8,-2.47,0.55,2,2
Luiz Otávio,Ceará,Zagueiro,7.0,0.0,0.0,0.0,2,0
Pedro Geromel,Grêmio,Zagueiro,9.4,0.0,0.0,-1.5,2,1
Kannemann,Grêmio,Zagueiro,11.0,0.0,0.0,0.0,2,0
Eduardo Bauermann,América-MG,Zagueiro,0.71,-2.0,-1.52,-1.4,2,2
Zé Ivaldo,Athlético-PR,Zagueiro,4.33,5.1,1.33,5.1,2,1
Anderson Jesus,América-MG,Zagueiro,2.05,1.3,-0.04,0.65,2,2
Ricardo Silva,América-MG,Zagueiro,3.0,0.0,0.0,0.0,2,0
