apelido,clube,posicao,preco,pontos,variacao,media,jogos
Léo Cittadini,Athlético-PR,Meia,5.57,0.0,-2.43,0.0,1
Ravanelli,Chapecoense,Meia,4.11,1.9,0.11,1.9,1
Danilo Barbosa,Palmeiras,Meia,4.0,0.0,0.0,0.0,0
Lima,Chapecoense,Meia,2.72,1.9,0.72,1.9,1
Lucas Lima,Palmeiras,Meia,5.0,0.0,0.0,0.0,0
Lucho González,Athlético-PR,Meia,5.0,0.0,0.0,0.0,0
Gabriel Menino,Palmeiras,Meia,12.95,7.6,1.95,7.6,1
Patrick de Paula,Palmeiras,Meia,4.59,-0.4,-2.41,-0.4,1
Léo Gomes,Chapecoense,Meia,3.0,0.0,0.0,0.0,0
Danilo,Palmeiras,Meia,5.85,1.4,-1.15,1.4,1
Rafael Gava,Cuiabá,Meia,3.76,1.4,-0.24,1.4,1
Richard,Athlético-PR,Meia,1.6,-2.7,-3.4,-2.7,1
Auremir,Cuiabá,Meia,4.0,0.0,0.0,0.0,0
Fernando Canesin,Athlético-PR,Meia,5.0,0.0,0.0,0.0,0
Thiago Maia,Flamengo,Meia,7.0,0.0,0.0,0.0,0
Hugo Moura,Flamengo,Meia,2.78,0.0,-1.22,0.0,1
Matheus Anjos,Athlético-PR,Meia,2.0,0.0,0.0,0.0,0
Otero,Corinthians,Meia,8.0,0.0,0.0,0.0,0
Uillian Correia,Cuiabá,Meia,4.0,0.0,0.0,0.0,0
Gabriel,Corinthians,Meia,6.0,0.0,0.0,0.0,0
Camacho,Corinthians,Meia,3.97,0.7,-1.03,0.7,1
Roni,Corinthians,Meia,3.69,2.3,0.69,2.3,1
Gomes,Flamengo,Meia,5.0,0.0,0.0,0.0,0
Richard Rios,Flamengo,Meia,2.0,0.0,0.0,0.0,0
Xavier,Corinthians,Meia,3.0,0.0,0.0,0.0,0
Camilo,Cuiabá,Meia,4.39,3.3,1.39,3.3,1
Araos,Corinthians,Meia,0.97,-2.6,-3.03,-2.6,1
Guedes,Chapecoense,Meia,2.0,0.0,0.0,0.0,0
Foguinho,Chapecoense,Meia,3.0,0.0,0.0,0.0,0
Wellington,Fluminense,Meia,2.78,0.0,-1.22,0.0,1
Ganso,Fluminense,Meia,5.0,0.0,0.0,0.0,0
Hudson,Fluminense,Meia,5.0,0.0,0.0,0.0,0
Yago Felipe,Fluminense,Meia,4.59,0.6,-1.41,0.6,1
Tharlis,Chapecoense,Meia,2.0,0.0,0.0,0.0,0
Martinelli,Fluminense,Meia,6.47,0.3,-2.53,0.3,1
Yuri Lima,Cuiabá,Meia,3.0,0.0,0.0,0.0,0
Miguel,Fluminense,Meia,3.0,0.0,0.0,0.0,0
Gerson,Flamengo,Meia,10.3,2.8,-1.7,2.8,1
Everton Ribeiro,Flamengo,Meia,8.35,0.0,-3.65,0.0,1
Diego,Flamengo,Meia,6.27,1.0,-1.73,1.0,1
Pierini,Cuiabá,Meia,2.0,0.0,0.0,0.0,0
Rikelme,Cuiabá,Meia,2.0,0.0,0.0,0.0,0
Matheus Vargas,Fortaleza,Meia,6.82,4.8,1.82,4.8,1
Gustavo Blanco,Fortaleza,Meia,4.0,0.0,0.0,0.0,0
Mariano Vázquez,Fortaleza,Meia,3.0,0.0,0.0,0.0,0
Gabriel Teixeira,Fluminense,Meia,4.39,3.3,1.39,3.3,1
Lucas Crispim,Fortaleza,Meia,2.16,1.1,0.16,1.1,1
Gabriel Pereira,Corinthians,Meia,3.0,0.0,0.0,0.0,0
Lucas Araújo,Bahia,Meia,1.39,0.0,-0.61,0.0,1
Ronald,Fortaleza,Meia,3.0,0.0,0.0,0.0,0
Bruno Leite,Athlético-PR,Meia,3.0,0.0,0.0,0.0,0
Pepê,Cuiabá,Meia,6.82,4.8,1.82,4.8,1
Matheus Jussa,Fortaleza,Meia,2.72,-0.1,-1.28,-0.1,1
Yago Pikachu,Fortaleza,Meia,14.83,15.3,8.83,15.3,1
Talles,São Paulo,Meia,2.0,0.0,0.0,0.0,0
Éderson,Fortaleza,Meia,6.96,5.0,1.96,5.0,1
Vitinho,Corinthians,Meia,2.0,0.0,0.0,0.0,0
Edson,Bahia,Meia,4.0,0.0,0.0,0.0,0
Everton,Grêmio,Meia,5.0,0.0,0.0,0.0,0
Yan Sasse,América-MG,Meia,3.0,0.0,0.0,0.0,0
Renan Bressan,Juventude,Meia,4.0,0.0,0.0,0.0,0
Zé Ricardo,América-MG,Meia,2.65,-1.2,-2.35,-1.2,1
André,Fluminense,Meia,3.0,0.0,0.0,0.0,0
Thiago Santos,Grêmio,Meia,2.37,-1.6,-2.63,-1.6,1
Matheuzinho,Juventude,Meia,5.0,0.0,0.0,0.0,0
Sabino,América-MG,Meia,3.0,0.0,0.0,0.0,0
Yago,Juventude,Meia,1.0,0.0,0.0,0.0,0
Lucas Silva,Grêmio,Meia,3.62,0.2,-1.38,0.2,1
Alisson,Grêmio,Meia,7.0,0.0,0.0,0.0,0
Raphael Veiga,Palmeiras,Meia,12.53,3.0,-2.47,3.0,1
Guilherme Castilho,Juventude,Meia,4.66,3.7,1.66,3.7,1
Zé Rafael ,Palmeiras,Meia,5.71,0.2,-2.29,0.2,1
Matheus Jesus,Juventude,Meia,5.0,0.0,0.0,0.0,0
Jean Pyerre,Grêmio,Meia,6.96,1.0,-2.04,1.0,1
Pinares,Grêmio,Meia,5.0,0.0,0.0,0.0,0
Patrick,Grêmio,Meia,3.0,0.0,0.0,0.0,0
Matheus Henrique,Grêmio,Meia,10.37,6.9,2.37,6.9,1
Jean Mota,Santos,Meia,6.4,4.2,1.4,4.2,1
Darlan,Grêmio,Meia,4.0,0.0,0.0,0.0,0
Kelvi,Juventude,Meia,1.0,0.0,0.0,0.0,0
Alison,Santos,Meia,3.9,0.6,-1.1,0.6,1
Nacho Fernández,Atlético-MG,Meia,14.9,0.4,-6.1,0.4,1
Claudinho,Bragantino,Meia,14.69,3.1,-3.31,3.1,1
Arrascaeta,Flamengo,Meia,13.85,4.9,-1.15,4.9,1
João Paulo,Juventude,Meia,6.27,4.0,1.27,4.0,1
Pedro Lucas,Grêmio,Meia,2.0,0.0,0.0,0.0,0
Carlos Sánchez,Santos,Meia,10.0,0.0,0.0,0.0,0
Wescley,Juventude,Meia,8.08,8.6,5.08,8.6,1
Ronaldo Henrique,Sport,Meia,4.0,0.0,0.0,0.0,0
José Welison,Sport,Meia,2.78,0.0,-1.22,0.0,1
Elton,Juventude,Meia,2.78,0.0,-1.22,0.0,1
Betinho,Sport,Meia,5.0,0.0,0.0,0.0,0
Marcão Silva,Sport,Meia,4.8,0.9,-1.2,0.9,1
João Igor,Sport,Meia,2.0,0.0,0.0,0.0,0
Kevyn ,América-MG,Meia,1.0,0.0,0.0,0.0,0
Kevin Malthus,Santos,Meia,2.0,0.0,0.0,0.0,0
