apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Yago Felipe,Fluminense,Meia,4.59,0.6,-1.41,0.6,1,1
Wellington,Fluminense,Meia,2.78,0.0,-1.22,0.0,1,1
Hudson,Fluminense,Meia,5.0,0.0,0.0,0.0,1,0
Max,Flamengo,Meia,2.0,0.0,0.0,0.0,1,0
Thiago Maia,Flamengo,Meia,7.0,0.0,0.0,0.0,1,0
Camacho,Corinthians,Meia,3.97,0.7,-1.03,0.7,1,1
Gabriel,Corinthians,Meia,6.0,0.0,0.0,0.0,1,0
Xavier,Corinthians,Meia,3.0,0.0,0.0,0.0,1,0
Ganso,Fluminense,Meia,5.0,0.0,0.0,0.0,1,0
Araos,Corinthians,Meia,0.97,-2.6,-3.03,-2.6,1,1
Roni,Corinthians,Meia,3.69,2.3,0.69,2.3,1,1
Otero,Corinthians,Meia,8.0,0.0,0.0,0.0,1,0
Cantillo,Corinthians,Meia,4.39,0.3,-1.61,0.3,1,1
João Paulo,Atlético-GO,Meia,7.31,5.5,2.31,5.5,1,1
Miguel,Fluminense,Meia,3.0,0.0,0.0,0.0,1,0
Edenílson,Internacional,Meia,18.03,12.9,5.03,12.9,1,1
Willian Maranhão,Atlético-GO,Meia,4.32,2.2,0.32,2.2,1,1
Maurício,Internacional,Meia,3.83,1.5,-0.17,1.5,1,1
Matheus Oliveira,Atlético-GO,Meia,2.0,0.0,0.0,0.0,1,0
Yuri Lima,Cuiabá,Meia,3.0,0.0,0.0,0.0,1,0
Nonato,Internacional,Meia,2.3,-0.7,-1.7,-0.7,1,1
Lucas Ramos,Internacional,Meia,1.0,0.0,0.0,0.0,1,0
Johnny,Internacional,Meia,3.0,0.0,0.0,0.0,1,0
Praxedes,Internacional,Meia,5.36,0.7,-1.64,0.7,1,1
Danilo Barbosa,Palmeiras,Meia,4.0,0.0,0.0,0.0,1,0
Lucas Lima,Palmeiras,Meia,5.0,0.0,0.0,0.0,1,0
Martinelli,Fluminense,Meia,6.47,0.3,-2.53,0.3,1,1
